item_nr,sa,sb,cond,cond_drop,cond_pro,obj,obj_gen,mod,v
I1,A: Was ist mit der Zeitschrift?,B: Kann ich dir morgen zurückgeben. ,drop_du,drop,du,,,,
I1,A: Was ist mit der Zeitschrift?,B: Die kann ich Ihnen morgen zurückgeben.,full_sie,full,sie,,,,
I2,A: Was ist mit dem Buch?,B: Soll ich Ihnen morgen vorbeibringen. ,drop_sie,drop,sie,,,,
I2,A: Was ist mit dem Buch?,B: Das soll ich dir morgen vorbeibringen. ,full_du,full,du,,,,
I3,A: Was ist mit dem Auto?,B: Kann ich dir später vorführen. ,drop_du,drop,du,,,,
I3,A: Was ist mit dem Auto?,B: Das kann ich Ihnen später vorführen. ,full_sie,full,sie,,,,
I4,A: Wo ist der Hund?,B: Kann ich Ihnen nachher zeigen. ,drop_sie,drop,sie,,,,
I4,A: Wo ist der Hund?,B: Den kann ich dir nachher zeigen. ,full_du,full,du,,,,
I5,A: Wo ist der Brief?,B: Muss ich dir morgen schicken. ,drop_du,drop,du,,,,
I5,A: Wo ist der Brief?,B: Den muss ich Ihnen morgen schicken. ,full_sie,full,sie,,,,
I6,A: Wo ist die Meldung?,B: Kann ich Ihnen später weiterleiten.,drop_sie,drop,sie,,,,
I6,A: Wo ist die Meldung?,B: Die kann ich dir später weiterleiten.,full_du,full,du,,,,
I7,A: Wie ist das Ergebnis?,B: Kann ich dir nachher vorlesen.,drop_du,drop,du,,,,
I7,A: Wie ist das Ergebnis?,B: Das kann ich Ihnen nachher vorlesen.,full_sie,full,sie,,,,
I8,A: Wann kommt das Paket? ,B: Will ich Ihnen morgen schicken. ,drop_sie,drop,sie,,,,
I8,A: Wann kommt das Paket? ,B: Das will ich dir morgen schicken. ,full_du,full,du,,,,
I9,A: Wer ist Peter Schmitt?,B: Kann ich dir später vorstellen.,drop_du,drop,du,,,,
I9,A: Wer ist Peter Schmitt?,B: Denn kann ich Ihnen später vorstellen.,full_sie,full,sie,,,,